ID,FECHA_HORA,MAGNITUD
1,"2017-05-17 15:22:51.571442",3.12
2,"2017-05-17 15:22:52.878292",0.13
3,"2017-05-17 15:22:54.185196",0.13
4,"2017-05-17 15:22:55.492772",0.13
5,"2017-05-17 15:22:56.800434",0.14
6,"2017-05-17 15:22:58.104737",0.13
7,"2017-05-17 15:22:59.412628",0.13
8,"2017-05-17 15:23:00.719346",0.14
9,"2017-05-17 15:23:02.023994",0.13
10,"2017-05-17 15:23:03.333033",0.12
11,"2017-05-17 15:23:04.638963",0.13
12,"2017-05-17 15:23:05.942190",0.13
13,"2017-05-17 15:23:07.250575",0.14
14,"2017-05-17 15:23:08.552894",0.13
15,"2017-05-17 15:23:09.856876",0.13
16,"2017-05-17 15:23:11.163581",0.13
17,"2017-05-17 15:23:12.472666",0.13
18,"2017-05-17 15:23:13.782993",0.12
19,"2017-05-17 15:23:15.091923",0.12
20,"2017-05-17 15:23:16.395846",0.14
21,"2017-05-17 15:23:17.700843",0.16
22,"2017-05-17 15:23:19.004935",0.16
23,"2017-05-17 15:23:20.308413",0.18
24,"2017-05-17 15:23:21.613898",0.12
25,"2017-05-17 15:23:22.918990",0.18
26,"2017-05-17 15:23:24.227731",0.18
27,"2017-05-17 15:23:25.536299",0.18
28,"2017-05-17 15:23:26.842525",0.12
29,"2017-05-17 15:23:28.146990",0.17
30,"2017-05-17 15:23:29.453216",0.16
31,"2017-05-17 15:23:30.755458",0.16
32,"2017-05-17 15:23:32.065408",0.16
33,"2017-05-17 15:23:33.371936",0.18
34,"2017-05-17 15:23:34.680675",0.16
35,"2017-05-17 15:23:35.988229",0.16
36,"2017-05-17 15:23:37.293687",0.16
37,"2017-05-17 15:23:38.599392",0.17
38,"2017-05-17 15:23:39.901673",0.16
39,"2017-05-17 15:23:41.205237",0.16
40,"2017-05-17 15:23:42.511564",0.18
41,"2017-05-17 15:23:43.818261",0.18
42,"2017-05-17 15:23:45.125108",0.12
43,"2017-05-17 15:23:46.430591",0.15
44,"2017-05-17 15:23:47.733912",0.18
45,"2017-05-17 15:23:49.040750",0.13
46,"2017-05-17 15:23:50.349592",0.17
47,"2017-05-17 15:23:51.656409",0.16
48,"2017-05-17 15:23:52.966755",0.17
49,"2017-05-17 15:23:54.277469",0.16
50,"2017-05-17 15:23:55.579821",0.13
51,"2017-05-17 15:23:56.883971",0.16
52,"2017-05-17 15:23:58.190108",0.16
53,"2017-05-17 15:23:59.495198",0.17
54,"2017-05-17 15:24:00.802078",0.16
55,"2017-05-17 15:24:02.110990",0.18
56,"2017-05-17 15:24:03.419519",0.18
57,"2017-05-17 15:24:04.721821",0.16
58,"2017-05-17 15:24:06.028878",0.13
59,"2017-05-17 15:24:07.333141",0.17
60,"2017-05-17 15:24:08.637857",0.18
61,"2017-05-17 15:24:09.943352",0.17
62,"2017-05-17 15:24:11.250362",0.17
63,"2017-05-17 15:24:12.553936",0.17
64,"2017-05-17 15:24:13.863682",0.16
65,"2017-05-17 15:24:15.167473",0.12
66,"2017-05-17 15:24:16.474362",0.18
67,"2017-05-17 15:24:17.780893",0.18
68,"2017-05-17 15:24:19.086895",0.16
69,"2017-05-17 15:24:20.389993",0.18
70,"2017-05-17 15:24:21.693350",0.12
71,"2017-05-17 15:24:23.001298",0.16
72,"2017-05-17 15:24:24.306346",0.18
73,"2017-05-17 15:24:25.612962",0.16
74,"2017-05-17 15:24:26.918623",0.18
75,"2017-05-17 15:24:28.226264",0.17
76,"2017-05-17 15:24:29.537191",0.12
77,"2017-05-17 15:24:30.843657",0.17
78,"2017-05-17 15:24:32.148264",0.16
79,"2017-05-17 15:24:33.454798",0.16
80,"2017-05-17 15:24:34.763749",0.18
81,"2017-05-17 15:24:36.069526",0.16
82,"2017-05-17 15:24:37.375507",0.18
83,"2017-05-17 15:24:38.682137",0.16
84,"2017-05-17 15:24:39.990060",0.17
85,"2017-05-17 15:24:41.295466",0.18
86,"2017-05-17 15:24:42.603895",0.18
87,"2017-05-17 15:24:43.910685",0.13
88,"2017-05-17 15:24:45.217337",0.17
89,"2017-05-17 15:24:46.525412",0.13
90,"2017-05-17 15:24:47.832199",0.18
91,"2017-05-17 15:24:49.141572",0.16
92,"2017-05-17 15:24:50.448381",0.18
93,"2017-05-17 15:24:51.755058",0.17
94,"2017-05-17 15:24:53.059337",0.17
95,"2017-05-17 15:24:54.372385",0.17
96,"2017-05-17 15:24:55.679151",0.17
97,"2017-05-17 15:24:56.982374",0.13
98,"2017-05-17 15:24:58.284402",0.18
99,"2017-05-17 15:24:59.592094",0.16
100,"2017-05-17 15:25:00.896794",0.17
101,"2017-05-17 15:25:02.204291",0.17
